name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2012 Honda City,1.5L I-VTEC V AT,Automatic,"67,618 km",1st Owner,Petrol,"₹7,820/month","₹4,11,000","₹4,00,000",New Delhi
2019 Tata Harrier,XZ 2.0L,Manual,"72,524 km",1st Owner,Diesel,"₹22,346/month",N/A,"₹11,74,000",New Delhi
2010 Maruti Wagon R 1.0,LXI,Manual,"67,150 km",2nd Owner,Petrol,"₹2,874/month","₹1,64,000","₹1,47,000",New Delhi
2012 Maruti Ritz,LXI,Manual,"58,861 km",1st Owner,Petrol,"₹3,715/month","₹2,20,000","₹1,90,000",New Delhi
2018 Maruti Ciaz,ALPHA 1.4 VVT AMT,Automatic,"60,795 km",1st Owner,Petrol,"₹14,213/month","₹9,10,000","₹7,27,000",New Delhi
2010 Hyundai i10,SPORTZ 1.2,Manual,"30,076 km",1st Owner,Petrol,"₹2,854/month","₹1,78,000","₹1,46,000",New Delhi
2012 Honda City,S MT PETROL,Manual,"45,297 km",1st Owner,Petrol,"₹7,429/month","₹4,38,000","₹3,80,000",New Delhi
2014 Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,"26,218 km",1st Owner,Petrol,"₹8,778/month","₹4,60,000","₹4,49,000",New Delhi
2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"28,770 km",2nd Owner,Petrol,"₹16,084/month","₹9,07,000","₹8,45,000",New Delhi
2019 Honda Jazz,1.2L I-VTEC VX,Manual,"14,115 km",1st Owner,Petrol,"₹12,942/month","₹7,21,000","₹6,62,000",New Delhi
2015 Maruti Alto K10,VXI AMT,Automatic,"17,538 km",2nd Owner,Petrol,"₹6,080/month","₹3,46,000","₹3,11,000",New Delhi
2017 Honda Amaze,1.2L I-VTEC S OPT,Manual,"31,843 km",1st Owner,Petrol,"₹9,130/month","₹5,10,000","₹4,67,000",New Delhi
2011 Maruti Swift,LXI,Manual,"31,701 km",1st Owner,Petrol,"₹5,200/month","₹2,77,000","₹2,66,000",New Delhi
2019 KIA SELTOS,HTX 1.5 PETROL,Manual,"11,779 km",1st Owner,Petrol,"₹22,879/month","₹12,81,000","₹12,02,000",New Delhi
2021 Maruti Ciaz,SIGMA 1.5 SHVS MT  PETROL,Manual,"41,549 km",1st Owner,Petrol,"₹15,284/month","₹8,13,000","₹8,03,000",New Delhi
2017 Hyundai Verna,1.6 VTVT SX (O) AT,Automatic,"70,008 km",1st Owner,Petrol,"₹16,579/month","₹8,80,000","₹8,71,000",New Delhi
2021 Honda Amaze,1.2L I-VTEC S,Manual,"15,032 km",1st Owner,Petrol,"₹13,060/month","₹7,08,000","₹6,68,000",New Delhi
2015 Honda City,1.5L I-VTEC V MT,Manual,"93,489 km",2nd Owner,Petrol,"₹9,931/month","₹5,27,000","₹5,08,000",New Delhi
2019 Tata Harrier,XZ 2.0L,Manual,"24,854 km",1st Owner,Diesel,"₹23,088/month","₹12,65,000","₹12,13,000",New Delhi
2022 Tata Safari,XT PLUS,Manual,"17,375 km",1st Owner,Diesel,"₹36,736/month",N/A,"₹19,30,000",New Delhi
2019 Maruti Baleno,ALPHA DIESEL 1.3,Manual,"55,074 km",1st Owner,Diesel,"₹13,646/month","₹7,27,000","₹6,98,000",New Delhi
2018 Maruti Vitara Brezza,ZDI PLUS AT DUAL TONE,Automatic,"66,692 km",1st Owner,Diesel,"₹13,509/month","₹8,40,000","₹6,91,000",New Delhi
2012 Maruti Swift,VXI,Manual,"70,989 km",1st Owner,Petrol,"₹5,298/month","₹3,27,000","₹2,71,000",New Delhi
2020 Tata ALTROZ,XE PETROL,Manual,"27,314 km",1st Owner,Petrol,"₹10,624/month","₹5,81,000","₹5,43,400",New Delhi
2018 Hyundai Creta,E PLUS 1.6 PETROL,Manual,"58,196 km",1st Owner,Petrol,"₹14,350/month","₹7,98,000","₹7,34,000",New Delhi
2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"80,039 km",1st Owner,Petrol,"₹6,686/month","₹3,90,000","₹3,42,000",New Delhi
2018 Maruti Baleno,DELTA PETROL 1.2,Manual,"85,363 km",1st Owner,Petrol,"₹9,071/month","₹5,13,000","₹4,64,000",New Delhi
2017 Maruti Alto K10,VXI,Manual,"42,668 km",1st Owner,Petrol,"₹5,533/month","₹3,46,000","₹2,83,000",New Delhi
2016 Maruti Ciaz,ZXI+,Manual,"75,603 km",1st Owner,Petrol,"₹10,655/month","₹6,34,000","₹5,45,000",New Delhi
2017 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"69,689 km",2nd Owner,CNG,"₹16,255/month","₹8,71,000","₹8,54,000",New Delhi
2019 Maruti Swift,VXI,Manual,"21,270 km",1st Owner,Petrol,"₹11,241/month","₹6,23,000","₹5,75,000",New Delhi
2013 Honda Brio,S MT,Manual,"73,883 km",1st Owner,Petrol,"₹4,770/month","₹2,71,000","₹2,44,000",New Delhi
2022 Maruti Alto K10,VXI,Manual,"11,726 km",1st Owner,Petrol,"₹8,876/month","₹5,07,000","₹4,54,000",New Delhi
2012 Maruti Wagon R 1.0,LXI,Manual,"69,796 km",1st Owner,Petrol,"₹4,438/month","₹2,36,000","₹2,27,000",New Delhi
2019 Tata Harrier,XZ 2.0L,Manual,"31,652 km",1st Owner,Diesel,"₹23,279/month","₹13,58,000","₹12,23,000",New Delhi
2019 Maruti S PRESSO,VXI+,Manual,"20,792 km",1st Owner,Petrol,"₹7,273/month","₹4,20,000","₹3,72,000",New Delhi
2016 Honda City,VX MT PETROL,Manual,"88,437 km",1st Owner,CNG,"₹12,082/month","₹6,75,000","₹6,18,000",New Delhi
2010 Hyundai i10,MAGNA 1.2,Manual,"48,510 km",2nd Owner,Petrol,"₹3,324/month","₹1,75,000","₹1,70,000",New Delhi
2011 Hyundai i10,SPORTZ 1.2,Manual,"39,170 km",1st Owner,Petrol,"₹4,106/month","₹2,38,000","₹2,10,000",New Delhi
